Tamb,I,Tcoolant_in,mass_flowrate_optimal
26.200000000000003,118,25.21169583049152,0.0001
29.700000000000003,325,22.753048784058628,0.00333265306122449
32.9,542,21.623863214910727,0.003938775510204082
35.300000000000004,740,23.81998392645092,0.0001
37.4,898,26.779994468722656,0.0001
39.0,1006,27.541791070439828,0.0001
40.2,1054,26.12989275320501,0.002322448979591837
40.900000000000006,1037,23.45898812415721,0.0001
41.2,961,23.936820277984303,0.0001
41.0,826,24.826706512076015,0.0001
40.400000000000006,649,21.295453811945674,0.0001
39.3,442,25.111822785899335,0.005151020408163266
36.6,227,21.166698779524356,0.005959183673469389
27.3,116,27.346740288116525,0.0001
30.4,321,30.994878098952533,0.0001
34.0,534,25.83999340314823,0.0025244897959183677
36.7,727,23.12445141579249,0.0001
38.3,885,21.768854079512348,0.0001
39.400000000000006,993,24.821302790178034,0.0001
40.1,1042,25.34708593953375,0.0001
40.5,1029,21.80758419008607,0.0001
40.6,953,27.19445384212271,0.0001
40.5,819,26.272946915689335,0.0001
40.0,640,25.282320089281242,0.0001
39.1,431,24.69668239746125,0.005151020408163266
36.6,217,25.205570088983897,0.005151020408163266
28.0,110,22.07366570793607,0.003938775510204082
31.0,308,22.11847956111044,0.004140816326530613
34.300000000000004,516,26.402543909066967,0.0025244897959183677
37.1,706,22.418091072312038,0.0001
38.900000000000006,859,29.56239209434742,0.0001
40.2,961,30.185219720432467,0.0001
41.1,1007,24.317190569906515,0.0001
41.8,991,23.28082924774636,0.0001
42.1,915,20.522814292033768,0.0001
42.1,786,24.601847495953642,0.0001
41.6,613,23.136203011888675,0.0001
40.7,411,24.951933107827973,0.005555102040816327
38.7,204,20.90973309939138,0.00636326530612245
32.2,98,26.984669848301603,0.003736734693877551
35.300000000000004,289,26.318716758050122,0.004140816326530613
38.2,496,28.253514167597892,0.003736734693877551
40.2,688,22.79459912456295,0.0001
41.6,843,25.98155241924003,0.0001
42.7,948,23.103762883264174,0.0001
43.5,999,24.80399858749357,0.0001
44.0,989,29.027221902723458,0.0001
44.3,919,29.431221471911986,0.0001
44.2,790,21.302120034161213,0.0001
43.6,619,25.564538309820776,0.0001
42.6,418,23.660800397701085,0.006161224489795919
40.7,211,26.9811519716634,0.005555102040816327
32.5,98,26.398316641474516,0.003938775510204082
35.5,289,28.6298176516629,0.0035346938775510208
38.1,495,27.310123924896693,0.003938775510204082
39.900000000000006,686,22.491456147864994,0.0001
41.6,844,24.398228465204404,0.0001
42.900000000000006,952,23.34417159295024,0.0001
43.900000000000006,1002,27.77885010193442,0.0001
44.6,987,23.890253703610526,0.0001
45.0,912,23.523425392235293,0.0001
44.8,785,26.848439279991855,0.0001
44.2,604,26.278929495902084,0.0001
43.1,413,25.00928001461768,0.005959183673469389
32.2,102,24.150758588930852,0.004544897959183674
34.800000000000004,295,24.758923667323877,0.004544897959183674
38.900000000000006,685,20.76373999097489,0.0001
40.6,844,27.728201110744216,0.0001
42.2,949,26.659088832653705,0.0001
43.5,999,24.411830963629008,0.0001
44.5,987,25.823687399467357,0.0001
45.1,914,26.234030212841436,0.0001
45.2,787,27.454997897549458,0.0001
44.900000000000006,616,25.223086531376698,0.0001
44.1,417,22.660712748190775,0.0065653061224489806
42.2,211,29.501524564574066,0.005353061224489797
32.300000000000004,103,27.518933547207663,0.0035346938775510208
35.800000000000004,300,26.71801877015959,0.004140816326530613
39.0,509,32.2419538851381,0.0017163265306122451
41.1,701,30.377858395210218,0.002928571428571429
42.900000000000006,858,27.49652226632459,0.0001
44.3,964,23.66505669904148,0.0001
45.3,1015,21.31250611477869,0.0001
45.900000000000006,1000,21.278220059299517,0.0001
46.1,784,25.360723828815633,0.0001
45.6,626,23.489295459403515,0.006161224489795919
44.7,424,23.059867105534455,0.0065653061224489806
